T_TL_TIMELINE_DATA_UID,T_TL_TIMELINE_DATA_UID,process01,waiting1-2,processing02,waiting2-3,process03,waiting3-4,processing4,waiting4-5,processing5,waiting5-6,processing6,waiting6-7,processing7,waiting7-8,processing8,waiting8-9,processing9,
152142,152142,35,152,58,6,20,2,8,14,11,28,25,62,25,79,32,57,80,694
152146,152146,35,24,64,6,10,3,11,14,13,25,24,41,25,74,32,103,44,548
152148,152148,35,26,59,7,9,3,8,17,12,13,25,60,27,81,31,288,49,750
152150,152150,35,16,50,10,12,3,9,17,11,26,24,68,28,65,31,297,41,743
152152,152152,36,33,58,5,10,3,8,12,10,34,24,54,26,246,31,101,76,767
152154,152154,35,13,51,5,14,3,9,15,11,36,25,229,29,94,32,111,59,771
152156,152156,35,8,59,6,15,2,9,16,11,211,24,89,24,91,32,159,54,845
152157,152157,36,14,57,191,15,9,10,42,13,28,24,73,30,143,32,109,69,895
152159,152159,35,189,62,56,27,10,11,19,10,14,24,87,24,122,32,150,60,932
152163,152163,35,62,62,33,17,10,9,23,14,28,24,95,36,133,33,122,22,758
152166,152166,36,35,57,39,22,11,8,18,28,27,25,130,29,95,32,63,38,693
152168,152168,36,57,66,19,16,38,11,54,11,28,25,76,40,65,32,2057,80,2711
152170,152170,35,30,67,74,12,7,11,15,11,54,24,64,30,2075,32,76,107,2724
152172,152172,36,88,53,16,8,11,9,12,12,68,25,2064,39,64,32,121,48,2706
152175,152175,35,7,61,9,10,2,9,59,13,2040,26,107,43,57,32,60,32,2602
152177,152177,35,6,75,2041,15,4,13,83,12,49,25,31,32,31,35,57,39,2583
152179,152179,35,2108,64,11,8,5,8,30,13,13,25,25,34,54,32,46,34,2545
152187,152187,35,9,67,12,12,3,7,14,14,25,25,13,36,14,33,158,42,519
152188,152188,34,19,56,22,8,3,9,14,17,22,25,87,42,28,32,45,46,509
152189,152189,35,31,102,11,8,2,9,12,12,40,25,23,44,15,32,41,70,512
152190,152190,34,4,78,7,8,8,10,9,14,25,25,11,44,13,32,160,29,511
152191,152191,35,2,50,17,7,11,7,10,11,23,25,9,41,94,32,83,33,490
152192,152192,35,13,47,11,7,6,7,11,13,26,24,57,44,38,34,84,36,493
152193,152193,36,5,53,6,8,10,9,18,9,20,24,48,35,62,32,70,46,491
152194,152194,36,7,48,23,13,3,7,11,10,20,24,54,40,45,32,72,46,491
152195,152195,36,23,55,5,9,9,7,10,10,26,24,46,28,60,32,66,41,487
152196,152196,35,12,51,6,8,4,8,14,12,26,25,37,38,53,33,68,75,505
152197,152197,36,7,49,7,7,3,8,15,9,26,25,55,31,47,33,100,96,554
152198,152198,35,5,48,7,8,3,9,19,10,34,24,40,28,88,32,120,63,573
152199,152199,35,7,48,9,9,3,8,13,10,34,24,77,28,113,33,90,48,589
152200,152200,36,8,89,7,8,3,8,17,12,24,24,103,28,69,32,80,41,589
152203,152203,35,52,52,12,8,3,7,69,11,23,25,48,36,58,32,146,45,662
152206,152206,35,2,76,38,8,4,8,16,12,25,24,57,27,74,32,258,16,712
152207,152207,36,77,42,13,7,3,7,11,13,35,25,56,33,93,32,254,57,794
152210,152210,35,38,49,8,8,3,8,20,10,19,25,65,29,274,33,67,66,757
152212,152212,34,8,61,7,9,4,8,21,14,24,25,264,28,58,32,88,84,769
152217,152217,35,1,47,6,8,3,7,19,10,15,24,45,28,65,32,124,49,518
152219,152219,35,5,50,5,9,3,8,16,11,18,24,49,30,102,32,85,65,547
152220,152220,35,10,48,10,8,3,7,10,13,24,25,90,29,66,32,93,37,540
152222,152222,35,8,58,9,10,41,9,10,12,23,24,57,26,62,33,78,43,538
152224,152224,35,12,106,5,7,8,7,11,11,21,24,50,27,63,31,71,37,526
152227,152227,35,1,44,8,9,9,7,9,11,30,25,49,28,56,32,62,39,454
152228,152228,35,7,49,8,8,7,7,13,10,37,24,44,28,51,33,59,47,467
152230,152230,35,8,47,12,8,8,8,11,10,37,25,40,28,50,32,65,52,476
152232,152232,35,10,48,11,8,7,9,20,10,27,24,39,28,58,33,69,35,471
152234,152234,35,11,45,19,8,3,7,12,10,33,24,48,27,47,32,82,35,478
152236,152236,35,14,50,7,8,3,7,13,9,41,24,36,28,51,33,73,46,478
